"","address","lat1","long1","MRTName2","MRTName1","MRTlat1","MRTlong1","MRTdista1","time","disto"
"3840","314 BT BATOK ST 32",1.3603147490342,103.746966785008,28,"Bukit Gombak",1.35861159094192,103.751790910733,569.362330143619,499,692
"3841","314 HOUGANG AVE 5",1.36476465177918,103.894218784179,93,"Hougang",1.37129226620797,103.892380513029,754.899359168155,800,1111
"3842","314 JURONG EAST ST 32",1.34665351063977,103.733275157188,85,"Chinese Garden",1.34235282081401,103.732596738363,484.667366094937,517,718
"3843","314 SEMBAWANG DR",1.44369870028224,103.821192155791,84,"Sembawang",1.44905082158502,103.820046140211,609.292133102143,703,975
"3844","314 SERANGOON AVE 2",1.35292209672281,103.865518393894,19,"Lorong Chuan",1.35161217074555,103.864151938651,210.687130864985,286,397
"3845","314 TAMPINES ST 33",1.3522170260524,103.957126056792,60,"Tampines East",1.35619148271544,103.9546344625,522.145142946157,535,743
"3846","314 UBI AVE 1",1.32929452580121,103.903634766965,184,"Ubi",1.32997425973974,103.899226655439,496.377874588255,460,639
"3847","314 WOODLANDS ST 31",1.43119072372737,103.776074114475,156,"Marsiling",1.43252114855026,103.774074641403,267.292597054432,291,403
"3848","314 YISHUN RING RD",1.4317314171105,103.841752753756,92,"Yishun",1.42944308477331,103.835005047246,792.948263766295,777,1079
"3849","314A ANCHORVALE LINK",1.39096346792355,103.889146783177,50,"Sengkang",1.39169462601522,103.895484694279,710.005688105029,688,955
"3850","314A PUNGGOL WAY",1.40826187839775,103.898017940475,31,"Punggol",1.41492733388605,103.910166388177,1542.18084976124,2056,2855
"3851","314B ANCHORVALE LINK",1.39104986151367,103.888846713825,60,"Sengkang",1.39169462601522,103.895484694279,742.197411811029,708,982
"3852","314B PUNGGOL WAY",1.40789778716346,103.897370752408,35,"Punggol",1.41492733388605,103.910166388177,1624.82032295285,2048,2844
"3853","314C ANCHORVALE LINK",1.39146759994418,103.888964274249,46,"Sengkang",1.39169462601522,103.895484694279,726.075722258463,716,993
"3854","314D ANCHORVALE LINK",1.39142658189252,103.889253370265,47,"Sengkang",1.39169462601522,103.895484694279,694.10489175785,680,943
"3855","315 BT BATOK ST 32",1.36009637574567,103.746560963113,158,"Bukit Gombak",1.35861159094192,103.751790910733,605.0451877294,545,757
"3856","315 CLEMENTI AVE 4",1.31847036567508,103.765419463873,78,"Clementi",1.31511625277378,103.765191452888,374.239421616824,359,498
"3857","315 HOUGANG AVE 5",1.36487118219384,103.894979026095,2,"Hougang",1.37129226620797,103.892380513029,771.07324704353,743,1031
"3858","315 JURONG EAST ST 32",1.34603432938681,103.732850513855,149,"Chinese Garden",1.34235282081401,103.732596738363,410.795647870324,484,671
"3859","315 SEMBAWANG VISTA",1.44686608385044,103.82060863266,65,"Sembawang",1.44905082158502,103.820046140211,251.130324330953,377,523
"3860","315 SERANGOON AVE 2",1.35293445761679,103.865970806633,94,"Lorong Chuan",1.35161217074555,103.864151938651,250.280302459189,280,389
"3861","315 TAMPINES ST 33",1.35214170002867,103.957447937175,66,"Tampines East",1.35619148271544,103.9546344625,548.884776850118,561,779
"3862","315 UBI AVE 1",1.32935634839085,103.903220788002,158,"Ubi",1.32997425973974,103.899226655439,449.795753981135,421,584
"3863","315 WOODLANDS ST 31",1.43147640608651,103.77584621921,27,"Marsiling",1.43252114855026,103.774074641403,228.896659297801,252,350
"3864","315A ANCHORVALE RD",1.39194187989874,103.889018489102,45,"Sengkang",1.39169462601522,103.895484694279,720.128495434707,724,1004
"3865","315A ANG MO KIO ST 31",1.36421831526448,103.846861474806,72,"Ang Mo Kio",1.36993284962262,103.84955809232,703.372798814321,749,1040
"3866","315A PUNGGOL WAY",1.40831677374217,103.897052983922,37,"Punggol",1.41492733388605,103.910166388177,1634.37529564783,2008,2787
"3867","315A YISHUN AVE 9",1.43238385408312,103.842384119393,46,"Yishun",1.42944308477331,103.835005047246,884.025887048595,853,1185
"3868","315B ANCHORVALE RD",1.39217823243959,103.888323166759,48,"Sengkang",1.39169462601522,103.895484694279,798.798509153451,781,1084
"3869","315B ANG MO KIO ST 31",1.36402757273373,103.847478724527,48,"Ang Mo Kio",1.36993284962262,103.84955809232,696.913401398212,708,984
"3870","315B PUNGGOL WAY",1.40795602683384,103.896400767911,33,"Punggol",1.41492733388605,103.910166388177,1717.26850431669,2049,2844
"3871","315B YISHUN AVE 9",1.43193085614681,103.842565042895,31,"Yishun",1.42944308477331,103.835005047246,885.720663329581,860,1194
"3872","315C ANCHORVALE RD",1.39234414519167,103.888049808731,58,"Sengkang",1.39169462601522,103.895484694279,830.556626368316,792,1100
"3873","315C YISHUN AVE 9",1.43236736579943,103.843300865333,28,"Yishun",1.42944308477331,103.835005047246,978.909845352059,951,1320
"3874","316 BT BATOK ST 32",1.3605766052846,103.746834002944,218,"Bukit Gombak",1.35861159094192,103.751790910733,593.431909058859,539,748
"3875","316 CLEMENTI AVE 4",1.3184700954521,103.764526086951,109,"Clementi",1.31511625277378,103.765191452888,380.620511706596,343,476
"3876","316 HOUGANG AVE 7",1.36497584742043,103.896809883055,8,"Hougang",1.37129226620797,103.892380513029,858.714833779619,730,1013
"3877","316 JURONG EAST ST 32",1.34579717453294,103.73230005742,196,"Chinese Garden",1.34235282081401,103.732596738363,384.842664501864,415,576
"3878","316 SEMBAWANG VISTA",1.44634275801164,103.82081661201,90,"Sembawang",1.44905082158502,103.820046140211,313.416387909515,454,629
"3879","316 SERANGOON AVE 2",1.35301133658634,103.86647177389,14,"Lorong Chuan",1.35161217074555,103.864151938651,301.515641858364,316,439
"3880","316 TAMPINES ST 33",1.35153799844878,103.957579533326,91,"Tampines East",1.35619148271544,103.9546344625,613.000727257456,671,932
"3881","316 UBI AVE 1",1.32942959489354,103.902786753395,186,"Ubi",1.32997425973974,103.899226655439,400.814049060079,380,527
"3882","316 WOODLANDS ST 31",1.43150897103474,103.776361760175,155,"Marsiling",1.43252114855026,103.774074641403,278.3465611314,303,421
"3883","316A ANCHORVALE LINK",1.39259070435595,103.889372018379,54,"Sengkang",1.39169462601522,103.895484694279,687.533800121929,707,981
"3884","316A ANG MO KIO ST 31",1.36476598625413,103.846907899709,77,"Ang Mo Kio",1.36993284962262,103.84955809232,646.381956491934,710,986
"3885","316A PUNGGOL WAY",1.40890165905109,103.898407764488,17,"Punggol",1.41492733388605,103.910166388177,1470.47124283002,1856,2577
"3886","316A YISHUN AVE 9",1.43335530681195,103.842705084631,36,"Yishun",1.42944308477331,103.835005047246,961.216952869684,995,1381
"3887","316B ANCHORVALE LINK",1.39284937868558,103.888820766704,54,"Sengkang",1.39169462601522,103.895484694279,752.664391326035,749,1038
"3888","316B PUNGGOL WAY",1.40894665776408,103.89792554782,16,"Punggol",1.41492733388605,103.910166388177,1516.2175807129,1854,2573
"3889","316B YISHUN AVE 9",1.43286932101608,103.842697590791,31,"Yishun",1.42944308477331,103.835005047246,937.184559246144,935,1297
"3890","316C ANCHORVALE LINK",1.39316162628404,103.888370952522,52,"Sengkang",1.39169462601522,103.895484694279,808.332280694679,781,1083
"3891","316C PUNGGOL WAY",1.40897577474178,103.897024808292,28,"Punggol",1.41492733388605,103.910166388177,1605.53936976235,1940,2692
"3892","316C YISHUN AVE 9",1.43292306072856,103.843472712009,33,"Yishun",1.42944308477331,103.835005047246,1018.8430929668,988,1371
"3893","316D PUNGGOL WAY",1.40879311418322,103.896812070957,29,"Punggol",1.41492733388605,103.910166388177,1635.51849548342,1967,2731
