"","address","lat1","long1","MRTName2","MRTName1","MRTlat1","MRTlong1","MRTdista1"
"8190","713 JURONG WEST ST 71",1.34365711251197,103.696064237883,89,"Pioneer",1.33758701106708,103.697321608474,690.057365603796
"8191","713 PASIR RIS ST 72",1.38247673750926,103.937821775649,69,"Pasir Ris",1.37304331635804,103.949284527763,1652.29086263442
"8192","713 TAMPINES ST 71",1.35924098095519,103.937646641338,115,"Tampines",1.34551530560119,103.938436971222,1530.46462310013
"8193","713 WOODLANDS DR 70",1.44195475589682,103.797812012966,101,"Admiralty",1.44058856161847,103.800990519771,385.027081773286
"8194","713 YISHUN ST 71",1.42752811877469,103.827416588661,149,"Yishun",1.42944308477331,103.835005047246,870.971063202716
"8195","714 ANG MO KIO AVE 6",1.37109649780946,103.84623152448,95,"Ang Mo Kio",1.36993284962262,103.84955809232,392.214448343601
"8196","714 BEDOK RESERVOIR RD",1.33703060322387,103.923284613437,83,"Bedok North",1.33474211664091,103.91797832995,643.138775627255
"8197","714 CLEMENTI WEST ST 2",1.30430341306691,103.761682084014,292,"Clementi",1.31511625277378,103.765191452888,1265.45702906787
"8198","714 JURONG WEST ST 71",1.34312002434277,103.696674982832,96,"Pioneer",1.33758701106708,103.697321608474,620.121825727526
"8199","714 PASIR RIS ST 72",1.38264722864523,103.937556703926,64,"Pasir Ris",1.37304331635804,103.949284527763,1687.13294047612
"8200","714 TAMPINES ST 71",1.36005190110954,103.937142900774,114,"Tampines",1.34551530560119,103.938436971222,1624.60220901276
"8201","714 WOODLANDS DR 70",1.44204928734016,103.798789070341,117,"Admiralty",1.44058856161847,103.800990519771,294.040126156395
"8202","714 YISHUN ST 71",1.42701651708938,103.827662646467,138,"Yishun",1.42944308477331,103.835005047246,860.591020317336
"8203","715 BEDOK RESERVOIR RD",1.33742965753386,103.923154915111,92,"Bedok North",1.33474211664091,103.91797832995,649.149575853089
"8204","715 CLEMENTI WEST ST 2",1.30315360303876,103.761943675943,295,"Clementi",1.31511625277378,103.765191452888,1379.85678622332
"8205","715 JURONG WEST ST 71",1.34374461019775,103.696418783167,76,"Pioneer",1.33758701106708,103.697321608474,692.785422377748
"8206","715 PASIR RIS ST 72",1.3829779022172,103.937054462632,63,"Pasir Ris",1.37304331635804,103.949284527763,1753.71125113285
"8207","715 TAMPINES ST 71",1.35955696952682,103.937031845348,116,"Tampines",1.34551530560119,103.938436971222,1570.91328340868
"8208","715 WOODLANDS DR 70",1.44198957569918,103.799393670745,110,"Admiralty",1.44058856161847,103.800990519771,236.436782091195
"8209","715 YISHUN ST 71",1.42638911318203,103.826910837812,147,"Yishun",1.42944308477331,103.835005047246,962.783511709776
"8210","716 ANG MO KIO AVE 6",1.37147783065153,103.845868750998,92,"Ang Mo Kio",1.36993284962262,103.84955809232,445.144599128531
"8211","716 BEDOK RESERVOIR RD",1.33783795176833,103.924973671246,111,"Bedok Reservoir",1.33660782955099,103.932234623286,819.586019925362
"8212","716 CLEMENTI WEST ST 2",1.3019178771328,103.763073374343,271,"Clementi",1.31511625277378,103.765191452888,1488.02573728693
"8213","716 JURONG WEST ST 71",1.34409760357644,103.696723900687,118,"Pioneer",1.33758701106708,103.697321608474,727.801976552361
"8214","716 PASIR RIS ST 72",1.38310038084332,103.936796767809,52,"Pasir Ris",1.37304331635804,103.949284527763,1784.58198495965
"8215","716 TAMPINES ST 71",1.35938987364854,103.936632842041,83,"Tampines",1.34551530560119,103.938436971222,1557.50531313442
"8216","716 WOODLANDS DR 70",1.44150834964609,103.799778803838,116,"Admiralty",1.44058856161847,103.800990519771,169.313137184495
"8217","716 YISHUN ST 71",1.42612488910141,103.827512567263,143,"Yishun",1.42944308477331,103.835005047246,911.956185752311
"8218","717 BEDOK RESERVOIR RD",1.33755208890136,103.925449316134,207,"Bedok Reservoir",1.33660782955099,103.932234623286,762.412152135208
"8219","717 CLEMENTI WEST ST 2",1.30323440870789,103.762464847394,107,"Clementi",1.31511625277378,103.765191452888,1357.04219238029
"8220","717 JURONG WEST ST 71",1.34300945708877,103.697479925355,95,"Pioneer",1.33758701106708,103.697321608474,603.881011166911
"8221","717 PASIR RIS ST 72",1.38262059331192,103.936631122283,59,"Pasir Ris",1.37304331635804,103.949284527763,1766.23144071326
"8222","717 TAMPINES ST 72",1.35881517979888,103.935185956034,107,"Tampines",1.34551530560119,103.938436971222,1524.10111426052
"8223","717 WOODLANDS DR 70",1.44084734957997,103.799421965632,120,"Admiralty",1.44058856161847,103.800990519771,176.916686564326
"8224","717 YISHUN ST 71",1.42575233813242,103.828104354933,169,"Yishun",1.42944308477331,103.835005047246,870.939736092873
"8225","717A WOODLANDS DR 70",1.44053874571164,103.798669114626,13,"Admiralty",1.44058856161847,103.800990519771,258.395476952512
"8226","717B WOODLANDS DR 70",1.44137023315005,103.798542723674,9,"Admiralty",1.44058856161847,103.800990519771,285.961703541557
"8227","718 BEDOK RESERVOIR RD",1.33663363411169,103.925744921529,270,"Bedok Reservoir",1.33660782955099,103.932234623286,722.239437421796
"8228","718 JURONG WEST ST 71",1.34370811271775,103.697520887338,118,"Pioneer",1.33758701106708,103.697321608474,681.758731147197
"8229","718 PASIR RIS ST 72",1.38244315383458,103.936371378227,31,"Pasir Ris",1.37304331635804,103.949284527763,1777.66448720376
"8230","718 TAMPINES ST 72",1.35908701781335,103.935544402477,90,"Tampines",1.34551530560119,103.938436971222,1544.71053019227
"8231","718 WOODLANDS AVE 6",1.4416662112657,103.80127154507,123,"Admiralty",1.44058856161847,103.800990519771,123.972835420773
"8232","718 YISHUN ST 71",1.42681827962849,103.828512775486,163,"Yishun",1.42944308477331,103.835005047246,779.339901531698
"8233","719 BEDOK RESERVOIR RD",1.33641984694912,103.92483267275,129,"Bedok North",1.33474211664091,103.91797832995,785.345163390245
"8234","719 JURONG WEST AVE 5",1.3445367697679,103.696986199669,37,"Pioneer",1.33758701106708,103.697321608474,774.543573643807
"8235","719 PASIR RIS ST 72",1.38224267910055,103.936646781251,59,"Pasir Ris",1.37304331635804,103.949284527763,1739.75161085447
"8236","719 TAMPINES ST 72",1.35881240055992,103.935913216026,92,"Tampines",1.34551530560119,103.938436971222,1506.63653056955
